id,name,price,comment_count,author,publicing_company,raw_add_time,raw_update_time,delete_flag
1, 【预订】Its Okay to Hurt: My Life with Fibromyalgia,142.00,0,"Mullinax, Linda Kay",Authorhouse,3/24/2018 22:15:39,3/24/2018 22:15:39,0
2, Its Okay to Sleep With Him on the First Date: And Every Ot,143.00,0,"Mullinax, Linda Kay",Harlequin,3/24/2018 22:15:39,3/24/2018 22:15:39,0
3, 【预订】Its the Principal of the Thing!,160.00,0,Andrea Syrtash,Winepress Publishing,3/24/2018 22:15:39,3/24/2018 22:15:39,0
4, 【预订】Its Not Okay with Me,142.00,0,Andrea Syrtash,Potential To Soar,3/24/2018 22:15:39,3/24/2018 22:15:39,0
5, Its All about the Elizabeths: A Financial Management Guide,183.00,0,Janine Maxwell,Pocket Books; Reprint,3/24/2018 22:15:39,3/24/2018 22:15:39,0
6," 【预订】Its Better to Laugh...Life, Good Luck, Bad Hair D",184.00,0,Janine Maxwell,东南大学出版社,3/24/2018 22:15:39,3/24/2018 22:15:39,0
7, IT广告创意设计 杜秀玲,27.80,0,"Suzanne Kleinberg,Michael Kreimeh",Square Fish,3/24/2018 22:15:39,3/24/2018 22:15:39,0
8, Its the First Day of School...Forever! [ISBN: 978-12500047,73.00,0,"Suzanne Kleinberg,Michael Kreimeh",Millbrook Press,3/24/2018 22:15:39,3/24/2018 22:15:39,0
9, 【预订】Its Back to School We Go!: First Day Stories from Arou,143.00,0,"Suzanne Kleinberg,Michael Kreimeh",凤凰出版社,3/24/2018 22:15:39,3/24/2018 22:15:39,0
10," IT创业疯魔史 杰瑞·卡普兰,刘骏杰 9787550610040 凤凰出版社[鸿图图书旗舰店]",10.70,0,"Suzanne Kleinberg,Michael Kreimeh",清华大学出版社,3/24/2018 22:15:39,3/24/2018 22:15:39,0
11," IT 项目管理/21世纪应用型本科计算机科学与技术专业规划教材 曲明成,李红宇,姚艳雪,姜春茂 97873024043",24.30,0,"Kathy Levine,JaneScovell,Joan Rivers",Simon SpotlightEntertainment,3/24/2018 22:15:39,3/24/2018 22:15:39,0
12, 【预订】Its Good to Be King,157.00,0,"Kathy Levine,JaneScovell,Joan Rivers",White Star,3/24/2018 22:15:39,3/24/2018 22:15:39,0
13, It’s a Boy. The first years record book,156.00,0,"Kathy Levine,JaneScovell,Joan Rivers",Halo Publishing International,3/24/2018 22:15:39,3/24/2018 22:15:39,0
14, 【预订】Its All in Your Head Managing Stress in Your Life,156.00,0,"Kathy Levine,JaneScovell,Joan Rivers",Little Hare Books,3/24/2018 22:15:39,3/24/2018 22:15:39,0
15, 【预订】Its a Miroocool!,199.00,0,"Kathy Levine,JaneScovell,Joan Rivers",St. Martin,3/24/2018 22:15:39,3/24/2018 22:15:39,0
16, Its Not That Im Bitter . . .: Or How I Learned to Stop Wo,155.00,0,杜秀玲,Tate Publishing,3/24/2018 22:15:39,3/24/2018 22:15:39,0
17, Its All in Your Head [ISBN: 978-1613460719],155.00,0,R. L. Stine,电子工业出版社,3/24/2018 22:15:39,3/24/2018 22:15:39,0
18, IT大趋势：2012—2016年全球信息技术导航图 9787121177804,31.40,0,"Jackson, Ellen",Xlibris,3/24/2018 22:15:39,3/24/2018 22:15:39,0
19, 【预订】Its All about Me Y9781436332439,155.00,0,"Jackson, Ellen",New Forums Press,3/24/2018 22:15:39,3/24/2018 22:15:39,0
20, 【预订】It Works for Me as a Scholar-Teacher,179.00,0,"杰瑞·卡普兰,刘骏杰",Xlibris Corporation,3/24/2018 22:15:39,3/24/2018 22:15:39,0
21, 【预订】Its All the Banks Fault: What It Takes to Stop the,197.00,0,"杰瑞·卡普兰,刘骏杰",Parragon,3/24/2018 22:15:39,3/24/2018 22:15:39,0
22, 【预订】Its All about Me&nbsp;9781781861325,70.00,0,"曲明成,李红宇,姚艳雪,姜春茂",Perfection Learning,3/24/2018 22:15:39,3/24/2018 22:15:39,0
23," 【预订】Its Halloween, You Fraidy Mouse! Y9780756930912",152.00,0,"曲明成,李红宇,姚艳雪,姜春茂",iUniverse,3/24/2018 22:15:39,3/24/2018 22:15:39,0
24, 【预订】It Could Be Worse: The Social and Medical Adventures of,155.00,0,"曲明成,李红宇,姚艳雪,姜春茂",Igniter,3/24/2018 22:15:39,3/24/2018 22:15:39,0
25, 【预订】Its Not Really about the Hair: The Honest Truth,131.00,0,"曲明成,李红宇,姚艳雪,姜春茂",Andrews McMeel Publishing,3/24/2018 22:15:39,3/24/2018 22:15:39,0
26, 【预订】Its One Thing After Another!: For Better or for Worse,195.00,0,"Michael Hirst,MichaelWilder",RBT Press,3/24/2018 22:15:39,3/24/2018 22:15:39,0
27, It Was Gods Grace and Mercy [ISBN: 978-0977634514],193.00,0,"Michael Hirst,MichaelWilder",HarperSanFrancisco,3/24/2018 22:15:39,3/24/2018 22:15:39,0
28, 【预订】Its Not All in Your Head: Now Women Can Discover,150.00,0,"Michael Hirst,MichaelWilder",Random House,3/24/2018 22:15:39,3/24/2018 22:15:39,0
29, IT`s Mine,36.00,0,暂无作者信息,Penguin,3/24/2018 22:15:39,3/24/2018 22:15:39,0
30, It Feels So Good When I Stop(ISBN=9781594484698),122.40,0,"Pajak, Duane",Plume,3/24/2018 22:15:39,3/24/2018 22:15:39,0
31, 【预订】Its Okay to Miss the Bed on the First Jump: And,123.00,0,"Pajak, Duane",Michigan State University Press,3/24/2018 22:15:39,3/24/2018 22:15:39,0
32, 【预订】Its Not Magic: The Rebirth of a Small Manufacturing Co,192.00,0,"Harris, Christine",中国画报出版社,3/24/2018 22:15:39,3/24/2018 22:15:39,0
33, It Girl身体保养100分 9787802208933,19.10,0,"Harris, Christine","Xlibris, Corp.",3/24/2018 22:15:39,3/24/2018 22:15:39,0
34, It Started with Men but Ended with the Man [ISBN: 978-14653,193.00,0,Gina Barreca,PublishAmerica,3/24/2018 22:15:39,3/24/2018 22:15:39,0
35, 【预订】Its All about Magic or Is It?,195.00,0,Gina Barreca,iUniverse,3/24/2018 22:15:39,3/24/2018 22:15:39,0
36, Its Your Vision: Can You Make It Happen? [ISBN: 978-146204,193.00,0,Maria McCutchen,New Forums Press,3/24/2018 22:15:39,3/24/2018 22:15:39,0
37," It Works for Me, Creatively: Shared Tips for the Classroom",173.00,0,Maria McCutchen,Life SourceProductions,3/24/2018 22:15:39,3/24/2018 22:15:39,0
38, 【预订】Its an Inside Job! Emotional Health Secrets of a,190.00,0,"(日)野村综合研究所创新开发部,北京市科技信息中心",IT Governance Publishing,3/24/2018 22:15:39,3/24/2018 22:15:39,0
39, IT Asset Management: A Pocket Survival Guide [ISBN: 978-184,145.00,0,"(日)野村综合研究所创新开发部,北京市科技信息中心",Guilford Publications; Newedition,3/24/2018 22:15:39,3/24/2018 22:15:39,0
40, 【预订】Its Not All in Your Head: How Worrying about Your,133.00,0,Becky Smattern,Aventine Press,3/24/2018 22:15:39,3/24/2018 22:15:39,0
41, 【预订】Its a Buck! White Tail Deer Hunting Stories and,148.00,0,Becky Smattern,Xlibris Corporation,3/24/2018 22:15:39,3/24/2018 22:15:39,0
42, 【预订】It Is about the Strategy Y9781413490138,190.00,0,"Blythe, Hal",Simon Spotlight,3/24/2018 22:15:39,3/24/2018 22:15:39,0
43," 【预订】Its Okay, Try Again!",119.00,0,"Heckscher, Melissa",Chimayo Press,3/24/2018 22:15:39,3/24/2018 22:15:39,0
44, Its a Breeze: 42 Lively English Lessons on American Idioms,145.00,0,"Heckscher, Melissa",iUniverse,3/24/2018 22:15:39,3/24/2018 22:15:39,0
45, Its Only Money-Memory Is The True Value: Musings Of A Jour,173.00,0,杰罗尼摩?斯蒂顿 (GeronimoStilton),Xlibris Corporation,3/24/2018 22:15:39,3/24/2018 22:15:39,0
46, 【预订】Its Not a Secret to Success: Just Do What Comes,173.00,0,杰罗尼摩?斯蒂顿 (GeronimoStilton),Business Plus,3/24/2018 22:15:39,3/24/2018 22:15:39,0
47, Its a Jungle Out There and a Zoo in Here: Run Your Home Bu,174.00,0,杰罗尼摩?斯蒂顿 (GeronimoStilton),CreateSpace Independent Publishing Plat,3/24/2018 22:15:39,3/24/2018 22:15:39,0
48, Its Okay to Lie: If Your Fingers Are Crossed [ISBN: 978-14,116.00,0,"Franklin V. Cobos II MD, V. Cobos II MD",Paradise Cay Publications,3/24/2018 22:15:39,3/24/2018 22:15:39,0
49, Its Your Boat Too: A Womans Guide to Greater Enjoyment on,145.00,0,"Franklin V. Cobos II MD, V. Cobos II MD",Authorhouse,3/24/2018 22:15:39,3/24/2018 22:15:39,0
50, 【预订】It All Comes Down to W.E.!: A Solid Work Ethic Is Key t,189.00,0,"Franklin V. Cobos II MD, V. Cobos II MD",Lulu.com,3/24/2018 22:15:39,3/24/2018 22:15:39,0
51," 【预订】Its a Mad, Mad, Mad, Mad Trip: On the Road of the Long",146.00,0,Tabatha Coffey,CreateSpace Independent Publishing Plat,3/24/2018 22:15:39,3/24/2018 22:15:39,0
52, Its A Breeze: 42 Lively English Lessons on American Idioms,145.00,0,Tabatha Coffey,Everyman Chess,3/24/2018 22:15:39,3/24/2018 22:15:39,0
53, 【预订】Its Your Move: Tough Puzzles,186.00,0,"Johnston, Lynn",AuthorHouse,3/24/2018 22:15:39,3/24/2018 22:15:39,0
54, 【预订】It Takes More Than a Whistle to Coach Basketball: A,185.00,0,"Johnston, Lynn",机械工业出版社,3/24/2018 22:15:39,3/24/2018 22:15:39,0
55," IT项目开发与管理 第2版 苏宝莉,刘贤锋 9787111469087",29.90,0,Carolin Jonet Morgan,机械工业出版社,3/24/2018 22:15:39,3/24/2018 22:15:39,0
56, IT项目开发与管理 苏宝莉 9787111346258,29.60,0,Carolin Jonet Morgan,Profile Books Ltd,3/24/2018 22:15:39,3/24/2018 22:15:39,0
57, It`s a Don`s Life 英文原版 Mary Beard,77.00,0,Carolin Jonet Morgan,New Forums Press,3/24/2018 22:15:39,3/24/2018 22:15:39,0
58, 【预订】It Works for Me: Becoming a Publishing Scholar/Research,168.00,0,"Susan E. Swedo,HenriettaLeonard",Boyds Mills Press,3/24/2018 22:15:39,3/24/2018 22:15:39,0
59," 【预订】Its Me, Celie",142.00,0,"Susan E. Swedo,HenriettaLeonard",Balboa Press,3/24/2018 22:15:39,3/24/2018 22:15:39,0
60, [预定]It Will Never Happen to Me! Growing up with Addiction a,47.30,0,"Black, Claudia",Ballantine Books,3/24/2018 22:15:39,3/24/2018 22:15:39,0
61, It Could Always Be Worse (Turtleback School & Library Bindi,178.00,0,"Black, Claudia",Turtleback,3/24/2018 22:15:39,3/24/2018 22:15:39,0
62," Its Pumpkin Day, Mouse! (If You Give...) [ISBN: 978-069401",73.00,0,"Margot Zemach,Margot Zemach",Balzer + Bray,3/24/2018 22:15:39,3/24/2018 22:15:39,0
63, 【预订】Its for Your Own Good,127.00,0,"Margot Zemach,Margot Zemach",Grindstone Books,3/24/2018 22:15:39,3/24/2018 22:15:39,0
64, Its Perfectly Normal 这其实很正常 身体的成长 自我保护绘本 (The Family Libra,90.00,0,"Margot Zemach,Margot Zemach",Candlewick,3/24/2018 22:15:39,3/24/2018 22:15:39,0
65, IT行情：中国IT市场应用调查研究报告2006 9787302128861,18.80,0,"Margot Zemach,Margot Zemach",清华大学出版社,3/24/2018 22:15:39,3/24/2018 22:15:39,0
66, It’s About Time: From Calendars and Clocks to Moon Cycles a,67.00,0,"Laura Numeroff,Felicia Bond",Little Brown UK,3/24/2018 22:15:39,3/24/2018 22:15:39,0
67, 【预订】Its Special to Me,124.00,0,"Laura Numeroff,Felicia Bond",Old Line Publishing,3/24/2018 22:15:39,3/24/2018 22:15:39,0
68, 【预订】Its the First Day of School... Forever! Y9781250004765,91.00,0,"Laura Numeroff,Felicia Bond",Square Fish,3/24/2018 22:15:39,3/24/2018 22:15:39,0
69, 【预订】It Seems to Me: A Book of Satires (1906) 9781166580155,175.00,0,"Laura Numeroff,Felicia Bond",Kessinger Publishing,3/24/2018 22:15:39,3/24/2018 22:15:39,0
70, 【预订】It-Systemelektroniker PR Fungsdokumentation:,177.00,0,Jane Cuff,Grin Verlag,3/24/2018 22:15:39,3/24/2018 22:15:39,0
